Model,Confidence_Threshold,mAP@0.5,mAP@0.5:0.95,Recall@100,FPS,Speed_ms,Total_Detections,Total_GT,Avg_Confidence
YOLOv12,0.29,92.45990514755249,56.27599358558655,62.19135522842407,20.568479873593503,48.618080001324415,333,324,0.8093327879905701
YOLOv12,0.30999999999999994,92.45990514755249,56.27599358558655,62.19135522842407,20.31573083611471,49.222939999890514,332,324,0.8108667731285095
YOLOv12,0.32999999999999996,92.45990514755249,56.27599358558655,62.19135522842407,19.943062558161298,50.14274999557529,329,324,0.8153346180915833
YOLOv12,0.35,91.54804944992065,56.01997375488281,61.759257316589355,20.947773638835304,47.73777000082191,325,324,0.821235716342926
YOLOv12,0.36999999999999994,91.54804944992065,56.01997375488281,61.759257316589355,22.79955768842447,43.86050000030082,324,324,0.8226532340049744
YOLOv12,0.38999999999999996,91.54804944992065,56.01997375488281,61.759257316589355,20.3574109929783,49.122160000842996,321,324,0.8267993330955505
YOLOv12,0.4099999999999999,91.54804944992065,55.932724475860596,61.574071645736694,19.825794706548542,50.4393400013214,319,324,0.8294540047645569
YOLOv12,0.42999999999999994,91.54804944992065,55.932724475860596,61.574071645736694,22.248529872499933,44.946790000540204,315,324,0.8346553444862366
YOLOv12,0.44999999999999996,91.54804944992065,55.932724475860596,61.574071645736694,20.095219184076967,49.763080006232485,314,324,0.8359307646751404
YOLOv12,0.4699999999999999,90.60525298118591,55.83844184875488,61.5123450756073,21.458057863964406,46.60254000336863,313,324,0.8371360898017883
YOLOv12,0.48999999999999994,90.60525298118591,55.83844184875488,61.4814817905426,19.880288854115374,50.30107999627944,311,324,0.8394166231155396
YOLOv12,0.5099999999999999,90.60497879981995,55.57972192764282,61.23456954956055,20.052183803638968,49.86987999873236,308,324,0.8427287340164185
YOLOv12,0.5299999999999999,89.65667486190796,55.37334084510803,60.987651348114014,17.859270024261683,55.99332999845501,307,324,0.843772292137146
YOLOv12,0.5499999999999999,89.65667486190796,55.37334084510803,60.987651348114014,20.11966775998176,49.702609999803826,305,324,0.8457854986190796
YOLOv12,0.57,89.65667486190796,55.37334084510803,60.987651348114014,19.72477235982966,50.697670003864914,305,324,0.8457854986190796
YOLOv12,0.59,89.65655565261841,55.18890619277954,60.864198207855225,19.41142238028985,51.516059998539276,304,324,0.8466406464576721
YOLOv12,0.6099999999999999,88.70227932929993,55.00684380531311,60.43210029602051,19.35708538168625,51.66066999663599,302,324,0.8482807278633118
YOLOv12,0.6299999999999999,88.70227932929993,55.00684380531311,60.43210029602051,19.43736600519759,51.44729999592528,300,324,0.849810004234314
YOLOv12,0.6499999999999999,88.70227932929993,54.74112629890442,60.277777910232544,19.090585594745342,52.38183999317698,299,324,0.8505020141601562
YOLOv12,0.6699999999999999,87.735116481781,54.15693521499634,59.62963104248047,19.757777549489628,50.612980002188124,293,324,0.8543992042541504
YOLOv12,0.69,86.7685079574585,53.911930322647095,59.16666388511658,22.37026865841866,44.70219000359066,291,324,0.85554438829422
YOLOv12,0.7099999999999999,85.80222725868225,53.27211022377014,58.487653732299805,21.56945385648949,46.3618600013433,286,324,0.8581758737564087
YOLOv12,0.7299999999999999,83.86371731758118,52.501922845840454,57.80864357948303,20.469463042462266,48.85325999639463,281,324,0.8606710433959961
YOLOv12,0.7499999999999999,82.89129734039307,51.92757844924927,57.00617432594299,20.560656197630628,48.63657999958377,277,324,0.8623722195625305
YOLOv12,0.7699999999999999,82.89093375205994,51.86946988105774,56.697529554367065,20.501385995297827,48.77719000214711,274,324,0.8634600639343262
YOLOv12,0.7899999999999999,79.96180653572083,50.27109980583191,54.9691379070282,22.28566704266836,44.87188999482896,264,324,0.8665550947189331
YOLOv12,0.8099999999999998,74.1042971611023,47.11557626724243,51.20370388031006,21.499897338147086,46.511849999660626,243,324,0.8720845580101013
YOLOv12,0.8299999999999998,66.25282168388367,43.566909432411194,47.12963104248047,20.456867309642583,48.88333999842871,219,324,0.8779929280281067
YOLOv12,0.8499999999999999,56.4302921295166,38.69704008102417,41.66666567325592,19.85158951679507,50.373799999943,185,324,0.8846942186355591
YOLOv12,0.8699999999999999,43.56435537338257,31.176817417144775,33.086419105529785,19.752134414982038,50.62744000169914,140,324,0.8923354148864746
YOLOv12,0.8899999999999999,23.762376606464386,18.37899386882782,19.074073433876038,18.78301113917612,53.239600008237176,76,324,0.9029064178466797
YOLOv12,0.9099999999999999,5.9405941516160965,5.011572688817978,4.691357910633087,21.07752968641956,47.443890004069544,17,324,0.9167037010192871
YOLOv12,0.9299999999999998,0.0,0.0,0.0,21.16282529890229,47.252669994486496,0,324,0.0
YOLOv12,0.9499999999999998,0.0,0.0,0.0,21.556202626171974,46.39035999716725,0,324,0.0
YOLOv12,0.9699999999999999,0.0,0.0,0.0,19.808036356032538,50.48456000513397,0,324,0.0
YOLOv12,0.9899999999999999,0.0,0.0,0.0,22.205962522124864,45.03295000176877,0,324,0.0
